Id,Scientific name,Common name,Population trend,IUCN status
#027,Haploblepharus fuscus,   Brown/shyshark     ,unknown,Vulnerable[96]
#041,Mustelus fasciatus,  Striped/smooth-hound    ,decreasing,Critically endangered[128]
#023,Glyphis gangeticus,     Ganges/shark   ,decreasing,Critically endangered [88]
#011,Carcharhinus plumbeus,   Sandbar/shark  ,decreasing,Vulnerable[54]
#025,Glyphis glyphis,    Speartooth/shark     ,decreasing,Endangered[92]
#053,Sphyrna lewini,Scalloped/hammerhead     ,unknown,Endangered[157]
#072,Triakis maculata,     Spotted/houndshark    ,decreasing,Vulnerable[206]
#003,Atelomycterus baliensis,     Bali/catshark,unknown,Vulnerable[37]
#029,Hemigaleus microstoma,   Sickle/fin/weasel/shark     ,decreasing,Vulnerable[100]
#030,Hemipristis elongata, Snaggletooth/shark     ,decreasing,Vulnerable[102]
#007,Carcharhinus hemiodon,   Pondicherry/shark,unknown,Critically endangered[45]
#031,Hemiscyllium hallstromi,     Papuan/epaulette/shark   ,unknown,Vulnerable[104]
#033,Hemitriakis leucoperiptera,  Whitefin/topeshark ,unknown,Endangered[110]
#046,Negaprion acutidens, Sharptooth/lemon/shark   ,decreasing,Vulnerable[140]
#019,Cetorhinus maximus,Basking/shark    ,decreasing,Vulnerable[78]
#001,Alopias superciliosus,  Bigeye/thresher/shark   ,decreasing,Vulnerable[31]
#054,Sphyrna mokarran,  Great/hammerhead ,decreasing,Endangered[160]
#013,Carcharias taurus,Sand/tiger     ,unknown,Vulnerable[60]
#032,Hemiscyllium strahani,  Hooded/carpet/shark   ,unknown,Vulnerable[107]
#021,Galeorhinus galeus,   School/shark,decreasing,Vulnerable[83]
#038,Isurus paucus,    Longfin/mako     ,decreasing,Vulnerable[121]
#039,Lamiopsis temminckii,     Broadfin/shark  ,decreasing,Endangered[124]
#022,Galeus mincaronei,   Southern/sawtail/catshark  ,decreasing,Vulnerable[86]
#063,Squatina guggenheim,Hidden/angelshark  ,decreasing,Endangered[182]
#017,Centrophorus lusitanicus,Lowfin/gulper/shark     ,unknown,Vulnerable[72]
#058,Squalus montalbani, Philippines/spurdog  ,decreasing,Vulnerable[169]
#064,Squatina japonica,     Japanese/angelshark,unknown,Vulnerable[184]
#026,Glyphis siamensis,Irrawaddy/river/shark     ,unknown,Critically endangered [94]
#002,Alopias vulpinus,    Common/thresher   ,decreasing,Vulnerable[34]
#034,Holohalaelurus favus,   Honeycomb/Izak ,decreasing,Endangered[112]
#037,Isurus oxyrinchus,  Shortfin/mako  ,decreasing,Vulnerable[118]
#004,Aulohalaelurus kanakorum,    New/Caledonia/catshark     ,unknown,Vulnerable[39]
#047,Odontaspis ferox,Small-tooth/sand/tiger/shark,decreasing,Vulnerable[142]
#016,Centrophorus harrissoni,    Dumb/gulper/shark ,decreasing,Endangered[69]
#057,Squalus acanthias,  Piked/dogfish     ,decreasing,Vulnerable[166]
#045,Nebrius ferrugineus,Tawny/nurse/shark     ,decreasing,Vulnerable[137]
#070,Stegostoma fasciatum,Zebra/shark  ,decreasing,Vulnerable[201]
#060,Squatina albipunctata,     Eastern/angel/shark ,decreasing,Vulnerable[174]
#015,Centrophorus granulosus,   Gulper/shark   ,decreasing,Vulnerable[66]
#010,Carcharhinus obscurus,Dusky/shark    ,decreasing,Vulnerable[51]
#040,Lamna nasus,    Porbeagle     ,decreasing,Vulnerable[126]
#043,Mustelus schmitti,Narrownose/smoothhound  ,decreasing,Endangered[132]
#071,Triakis acutipinna,Sharpfin/houndshark ,decreasing,Endangered[204]
#061,Squatina argentina,   Argentine/angel/shark   ,decreasing,Endangered[176]
#006,Carcharhinus borneensis,Borneo/shark   ,unknown,Endangered[43]
#014,Carcharodon carcharias,Great/white/shark,unknown,Vulnerable[63]
#055,Sphyrna tudes,  Smalleye/hammerhead ,decreasing,Vulnerable[162]
#056,Sphyrna zygaena,   Smooth/hammerhead     ,decreasing,Vulnerable[164]
#062,Squatina formosa,   Taiwan/angelshark     ,unknown,Endangered[179]
#051,Schroederichthys  saurisqualus,    Lizard/catshark  ,unknown,Vulnerable[153]
#048,Oxynotus centrina,  Angular/rough/shark,unknown,Vulnerable[145]
#036,Isogomphodon oxyrhynchus,   Daggernose/shark,decreasing,Critically endangered[116]
#005,Brachaelurus colcloughi, Bluegrey/carpetshark,unknown,Vulnerable[41]
#009,Carcharhinus longimanus,     Oceanic/whitetip/shark    ,decreasing,Vulnerable[49]
#069,Squatina tergocellatoides,    Ocellated/angelshark    ,unknown,Vulnerable[198]
#042,Mustelus mustelus,   Common/smoothhound    ,decreasing,Vulnerable[130]
#068,Squatina squatina,Angel/shark   ,decreasing,Critically endangered[195]
#028,Haploblepharus kistnasamyi,Natal/shyshark   ,unknown,Critically endangered[98]
#035,Holohalaelurus punctatus, Whitespotted/Izak    ,decreasing,Endangered[114]
#049,Pseudoginglymostoma  brevicaudatum, Shorttail/nurse/shark     ,unknown,Vulnerable[148]
#020,Chaenogaleus macrostoma, Hooktooth/shark  ,unknown,Vulnerable[81]
#018,Centrophorus squamosus,   Deepwater/spiny/dogfish   ,decreasing,Vulnerable[75]
#024,Glyphis garricki,     New/Guinea/river/shark    ,decreasing,Critically endangered [90]
#065,Squatina nebulosa,     Clouded/angelshark   ,unknown,Vulnerable[187]
#000,Alopias pelagicus,  Pelagic/thresher,decreasing,Vulnerable[28]
#067,Squatina punctata,    Angular/angelshark    ,decreasing,Endangered[193]
#012,Carcharhinus signatus,Night/shark,unknown,Vulnerable[57]
#050,Rhincodon typus, Whale/shark     ,decreasing,Vulnerable[150]
#059,Squatina aculeata,   Sawback/angelshark  ,decreasing,Critically endangered[171]
#052,Scylliogaleus quecketti,Flapnose/houndshark    ,unknown,Vulnerable[155]
#066,Squatina oculata, Smoothback/angel/shark    ,decreasing,Critically endangered[190]
#044,Mustelus whitneyi,  Humpback/smoothhound     ,decreasing,Vulnerable[135]
#008,Carcharhinus leiodon, Smoothtooth/blacktip/shark  ,unknown,Vulnerable[47]
